c,yr,x,y,r2N,max_s,delta_t,phase,color
Latvia,2015-01-01,2015-01-01 00:00:00,2.4011991301005207,2.0389999531696104,2.0,0.0,Deactivated,black
Lebanon,2015-01-01,2015-01-01 00:00:00,3.12015327436905,2.01364479986166,2.0,0.0,Deactivated,black
Lithuania,2015-01-01,2015-01-01 00:00:00,8.907822629745432,1.0000000000000038,1.0,0.0,Deactivated,black
Luxembourg,2015-01-01,2015-01-01 00:00:00,4.512879210520577,5.995116280526642,6.0,0.0,Deactivated,black
Malaysia,2015-01-01,2015-01-01 00:00:00,2.8934182303676046,43.46779687491975,43.0,0.0,Deactivated,black
Malta,2015-01-01,2015-01-01 00:00:00,3.121436761274447,2.011148835207698,2.0,0.0,Deactivated,black
Mexico,2015-01-01,2015-01-01 00:00:00,3.6913117168761937,7.04282774373657,7.0,0.0,Deactivated,black
Nepal,2015-01-01,2015-01-01 00:00:00,8.908596370071098,1.0000000000000093,1.0,0.0,Deactivated,black
Netherlands,2015-01-01,2015-01-01 00:00:00,2.8885881297090257,50.56171847165727,50.0,0.0,Deactivated,black
New Zealand,2015-01-01,2015-01-01 00:00:00,2.2280269621029483,14.382142579315769,14.0,0.0,Deactivated,black
Nicaragua,2015-01-01,2015-01-01 00:00:00,8.90995282396443,1.0000000000000622,1.0,0.0,Deactivated,black
Nigeria,2015-01-01,2015-01-01 00:00:00,2.8082727628508715,3.0420844518220083,3.0,0.0,Deactivated,black
North Macedonia,2015-01-01,2015-01-01 00:00:00,8.905075446563638,1.000000000000016,1.0,0.0,Deactivated,black
Norway,2015-01-01,2015-01-01 00:00:00,2.734629336074749,37.28997869672599,37.0,0.0,Deactivated,black
Pakistan,2015-01-01,2015-01-01 00:00:00,3.768952903399026,6.035940010095004,6.0,0.0,Deactivated,black
China,2015-01-01,2015-01-01 00:00:00,2.894096957184819,196.84612992725076,195.0,0.0,Deactivated,black
Peru,2015-01-01,2015-01-01 00:00:00,8.909986873619182,1.00000000000004,1.0,0.0,Deactivated,black
Philippines,2015-01-01,2015-01-01 00:00:00,2.553381923367206,13.14461365578745,13.0,0.0,Deactivated,black
Poland,2015-01-01,2015-01-01 00:00:00,3.285596729935078,14.08032021911962,14.0,0.0,Deactivated,black
Portugal,2015-01-01,2015-01-01 00:00:00,3.6401097654111023,24.087315481400978,24.0,0.0,Deactivated,black
Qatar,2015-01-01,2015-01-01 00:00:00,3.5126832136481863,3.0268176610512176,3.0,0.0,Deactivated,black
Romania,2015-01-01,2015-01-01 00:00:00,2.716645586511031,20.11571346786999,20.0,0.0,Deactivated,black
Russia,2015-01-01,2015-01-01 00:00:00,3.4844381026927196,3.0084092734246126,3.0,0.0,Deactivated,black
Saudi Arabia,2015-01-01,2015-01-01 00:00:00,4.00298247394665,2.0049826318085615,2.0,0.0,Deactivated,black
Senegal,2015-01-01,2015-01-01 00:00:00,8.907741307583526,0.9999999999999994,1.0,0.0,Deactivated,black
Serbia,2015-01-01,2015-01-01 00:00:00,2.427679003169769,3.0742961860592466,3.0,0.0,Deactivated,black
Singapore,2015-01-01,2015-01-01 00:00:00,2.7976139477860555,31.302666490923283,31.0,0.0,Deactivated,black
Slovakia,2015-01-01,2015-01-01 00:00:00,3.0454215331235046,7.044401485424997,7.0,0.0,Deactivated,black
Slovenia,2015-01-01,2015-01-01 00:00:00,2.8766469333465103,13.061873445630573,13.0,0.0,Deactivated,black
South Africa,2015-01-01,2015-01-01 00:00:00,2.9679675698643253,27.127510336024347,27.0,0.0,Deactivated,black
South Korea,2015-01-01,2015-01-01 00:00:00,2.40792547613912,9.211469202874664,9.0,0.0,Deactivated,black
Spain,2015-01-01,2015-01-01 00:00:00,2.8245040148654232,80.89292266405211,80.0,0.0,Deactivated,black
Sri Lanka,2015-01-01,2015-01-01 00:00:00,3.4620214690978557,3.025316321755767,3.0,0.0,Deactivated,black
Sweden,2015-01-01,2015-01-01 00:00:00,3.0400861515717024,39.40479254967557,39.0,0.0,Deactivated,black
Switzerland,2015-01-01,2015-01-01 00:00:00,2.6676597631016628,23.324848002428304,23.0,0.0,Deactivated,black
Taiwan,2015-01-01,2015-01-01 00:00:00,2.943465163532089,38.32693194504065,38.0,0.0,Deactivated,black
Thailand,2015-01-01,2015-01-01 00:00:00,3.157632172517508,12.069344536176462,12.0,0.0,Deactivated,black
Trinidad Tobago,2015-01-01,2015-01-01 00:00:00,8.91428163930689,0.9999999999999951,1.0,0.0,Deactivated,black
Turkey,2015-01-01,2015-01-01 00:00:00,2.3990257254268355,5.128435499257449,5.0,0.0,Deactivated,black
U Arab Emirates,2015-01-01,2015-01-01 00:00:00,3.022185319149092,10.039213345771142,10.0,0.0,Deactivated,black
Uganda,2015-01-01,2015-01-01 00:00:00,8.909398818290017,1.000000000000044,1.0,0.0,Deactivated,black
Uruguay,2015-01-01,2015-01-01 00:00:00,3.5291716059551357,2.009469671861467,2.0,0.0,Deactivated,black
Venezuela,2015-01-01,2015-01-01 00:00:00,8.91428163930689,0.9999999999999951,1.0,0.0,Deactivated,black
Vietnam,2015-01-01,2015-01-01 00:00:00,8.91428163930689,0.9999999999999951,1.0,0.0,Deactivated,black
Zimbabwe,2015-01-01,2015-01-01 00:00:00,8.915776739059286,1.0000000000000053,1.0,0.0,Deactivated,black
USA,2015-01-01,2015-01-01 00:00:00,2.633520972397684,528.4382989011555,522.0,0.0,Deactivated,black
UK,2015-01-01,2015-01-01 00:00:00,2.5412624660187455,277.34814477739985,274.0,0.0,Deactivated,black
Argentina,2015-07-01,2015-07-01 00:00:00,8.909969866733686,0.9999999999999889,1.0,0.0,Deactivated,black
Australia,2015-07-01,2015-07-01 00:00:00,2.7001361681627496,147.9107326129506,146.0,0.0,Deactivated,black
Austria,2015-07-01,2015-07-01 00:00:00,2.8566925759709574,18.178096562769,18.0,0.0,Deactivated,black
Bangladesh,2015-07-01,2015-07-01 00:00:00,8.907401114109215,1.0000000000000104,1.0,0.0,Deactivated,black
Belgium,2015-07-01,2015-07-01 00:00:00,3.0951754297890646,34.22437157502523,34.0,0.0,Deactivated,black
Brazil,2015-07-01,2015-07-01 00:00:00,3.065196054944539,19.250985683122295,19.0,0.0,Deactivated,black
Canada,2015-07-01,2015-07-01 00:00:00,2.722871804371791,98.31742833746887,97.0,0.0,Deactivated,black
Chile,2015-07-01,2015-07-01 00:00:00,2.8306718964516397,9.134392833048572,9.0,0.0,Deactivated,black
Colombia,2015-07-01,2015-07-01 00:00:00,3.361593200151409,11.094056008619168,11.0,0.0,Deactivated,black
Croatia,2015-07-01,2015-07-01 00:00:00,8.91428163930689,1.9999999999999902,2.0,0.0,Deactivated,black
Czech Republic,2015-07-01,2015-07-01 00:00:00,2.599767180538941,7.848769999649868,8.0,0.0,Deactivated,black
Denmark,2015-07-01,2015-07-01 00:00:00,2.713737159864936,29.44708919967276,29.0,0.0,Deactivated,black
Estonia,2015-07-01,2015-07-01 00:00:00,2.763377186011258,2.023743455037651,2.0,0.0,Deactivated,black
Fiji,2015-07-01,2015-07-01 00:00:00,8.92915341520533,1.0000000000000095,1.0,0.0,Deactivated,black
Finland,2015-07-01,2015-07-01 00:00:00,2.6871339162099197,42.63237521404608,42.0,0.0,Deactivated,black
France,2015-07-01,2015-07-01 00:00:00,2.953041338191862,42.48453706426037,42.0,0.0,Deactivated,black
Germany,2015-07-01,2015-07-01 00:00:00,2.7436563363255773,121.52457166957839,120.0,0.0,Deactivated,black
Ghana,2015-07-01,2015-07-01 00:00:00,8.908596370071098,1.0000000000000093,1.0,0.0,Deactivated,black
Greece,2015-07-01,2015-07-01 00:00:00,2.8935203566927274,22.166933792117415,22.0,0.0,Deactivated,black
Hungary,2015-07-01,2015-07-01 00:00:00,2.648683790648363,22.000312825046162,22.0,0.0,Deactivated,black
India,2015-07-01,2015-07-01 00:00:00,2.994180816755717,91.88897004585043,91.0,0.0,Deactivated,black
Indonesia,2015-07-01,2015-07-01 00:00:00,3.579804420846947,3.00997463972731,3.0,0.0,Deactivated,black
Iran,2015-07-01,2015-07-01 00:00:00,3.388810605232523,2.998856530442925,3.0,0.0,Deactivated,black
Ireland,2015-07-01,2015-07-01 00:00:00,2.604458858879071,19.337812983393796,19.0,0.0,Deactivated,black
Israel,2015-07-01,2015-07-01 00:00:00,3.6859978266422857,3.0066657439061135,3.0,0.0,Deactivated,black
Italy,2015-07-01,2015-07-01 00:00:00,2.8840310908883144,88.09432160373522,87.0,0.0,Deactivated,black
Japan,2015-07-01,2015-07-01 00:00:00,3.0524148360203625,23.074327151125168,23.0,0.0,Deactivated,black
Kuwait,2015-07-01,2015-07-01 00:00:00,8.910246475532604,1.0000000000000169,1.0,0.0,Deactivated,black
Latvia,2015-07-01,2015-07-01 00:00:00,2.4011991301005207,2.0389999531696104,2.0,0.0,Deactivated,black
Lebanon,2015-07-01,2015-07-01 00:00:00,3.12015327436905,2.01364479986166,2.0,0.0,Deactivated,black
Lithuania,2015-07-01,2015-07-01 00:00:00,8.907822629745432,1.0000000000000038,1.0,0.0,Deactivated,black
Luxembourg,2015-07-01,2015-07-01 00:00:00,4.512879210520577,5.995116280526642,6.0,0.0,Deactivated,black
Malaysia,2015-07-01,2015-07-01 00:00:00,2.874161988822091,45.50275349169228,45.0,0.0,Deactivated,black
Malta,2015-07-01,2015-07-01 00:00:00,3.121436761274447,2.011148835207698,2.0,0.0,Deactivated,black
Mexico,2015-07-01,2015-07-01 00:00:00,3.6913117168761937,7.04282774373657,7.0,0.0,Deactivated,black
Nepal,2015-07-01,2015-07-01 00:00:00,8.908596370071098,1.0000000000000093,1.0,0.0,Deactivated,black
Netherlands,2015-07-01,2015-07-01 00:00:00,2.8625361848138384,52.576420516481406,52.0,0.0,Deactivated,black
New Zealand,2015-07-01,2015-07-01 00:00:00,2.224550205125077,16.522804295121205,16.0,0.0,Deactivated,black
Nicaragua,2015-07-01,2015-07-01 00:00:00,8.90995282396443,1.0000000000000622,1.0,0.0,Deactivated,black
Nigeria,2015-07-01,2015-07-01 00:00:00,2.8082727628508715,3.0420844518220083,3.0,0.0,Deactivated,black
North Macedonia,2015-07-01,2015-07-01 00:00:00,8.905075446563638,1.000000000000016,1.0,0.0,Deactivated,black
Norway,2015-07-01,2015-07-01 00:00:00,2.734629336074749,37.28997869672599,37.0,0.0,Deactivated,black
Pakistan,2015-07-01,2015-07-01 00:00:00,3.768952903399026,6.035940010095004,6.0,0.0,Deactivated,black
China,2015-07-01,2015-07-01 00:00:00,2.8542416489574904,210.10588432295947,208.0,0.0,Deactivated,black
Peru,2015-07-01,2015-07-01 00:00:00,8.909986873619182,1.00000000000004,1.0,0.0,Deactivated,black
Philippines,2015-07-01,2015-07-01 00:00:00,2.513067140916915,14.199509310570319,14.0,0.0,Deactivated,black
Poland,2015-07-01,2015-07-01 00:00:00,3.207653482670268,15.079032008426807,15.0,0.0,Deactivated,black
Portugal,2015-07-01,2015-07-01 00:00:00,3.520837603363438,26.036373003913468,26.0,0.0,Deactivated,black
Qatar,2015-07-01,2015-07-01 00:00:00,3.5126832136481863,3.0268176610512176,3.0,0.0,Deactivated,black
Romania,2015-07-01,2015-07-01 00:00:00,2.633675199660326,22.19559574928276,22.0,0.0,Deactivated,black
Russia,2015-07-01,2015-07-01 00:00:00,3.4844381026927196,3.0084092734246126,3.0,0.0,Deactivated,black
Saudi Arabia,2015-07-01,2015-07-01 00:00:00,4.00298247394665,2.0049826318085615,2.0,0.0,Deactivated,black
Senegal,2015-07-01,2015-07-01 00:00:00,8.907741307583526,0.9999999999999994,1.0,0.0,Deactivated,black
Serbia,2015-07-01,2015-07-01 00:00:00,2.491617722351477,4.113570319176857,4.0,0.0,Deactivated,black
Singapore,2015-07-01,2015-07-01 00:00:00,2.7329270577053646,34.376872860292586,34.0,0.0,Deactivated,black
Slovakia,2015-07-01,2015-07-01 00:00:00,3.0454215331235046,7.044401485424997,7.0,0.0,Deactivated,black
Slovenia,2015-07-01,2015-07-01 00:00:00,2.8766469333465103,13.061873445630573,13.0,0.0,Deactivated,black
South Africa,2015-07-01,2015-07-01 00:00:00,2.9679675698643253,27.127510336024347,27.0,0.0,Deactivated,black
South Korea,2015-07-01,2015-07-01 00:00:00,2.3943604148714237,10.257559295175794,10.0,0.0,Deactivated,black
Spain,2015-07-01,2015-07-01 00:00:00,2.758074561262268,99.3964225674481,98.0,0.0,Deactivated,black
Sri Lanka,2015-07-01,2015-07-01 00:00:00,3.4620214690978557,3.025316321755767,3.0,0.0,Deactivated,black
Sweden,2015-07-01,2015-07-01 00:00:00,3.031718044374084,41.44239165649729,41.0,0.0,Deactivated,black
Switzerland,2015-07-01,2015-07-01 00:00:00,2.6676597631016628,23.324848002428304,23.0,0.0,Deactivated,black
Taiwan,2015-07-01,2015-07-01 00:00:00,2.8951850955847758,42.42413550227447,42.0,0.0,Deactivated,black
Tanzania,2015-07-01,2015-07-01 00:00:00,8.90863784600281,0.9999999999999752,1.0,0.0,Deactivated,black
Thailand,2015-07-01,2015-07-01 00:00:00,3.019436118061831,15.133646094086444,15.0,0.0,Deactivated,black
Trinidad Tobago,2015-07-01,2015-07-01 00:00:00,8.91428163930689,0.9999999999999951,1.0,0.0,Deactivated,black
Turkey,2015-07-01,2015-07-01 00:00:00,2.3990257254268355,5.128435499257449,5.0,0.0,Deactivated,black
U Arab Emirates,2015-07-01,2015-07-01 00:00:00,3.022185319149092,10.039213345771142,10.0,0.0,Deactivated,black
Uganda,2015-07-01,2015-07-01 00:00:00,8.909398818290017,1.000000000000044,1.0,0.0,Deactivated,black
Uruguay,2015-07-01,2015-07-01 00:00:00,3.5291716059551357,2.009469671861467,2.0,0.0,Deactivated,black
Venezuela,2015-07-01,2015-07-01 00:00:00,8.91428163930689,0.9999999999999951,1.0,0.0,Deactivated,black
Vietnam,2015-07-01,2015-07-01 00:00:00,8.91428163930689,0.9999999999999951,1.0,0.0,Deactivated,black
Zimbabwe,2015-07-01,2015-07-01 00:00:00,8.915776739059286,1.0000000000000053,1.0,0.0,Deactivated,black
USA,2015-07-01,2015-07-01 00:00:00,2.588201580526695,565.4673883222282,558.0,0.0,Deactivated,black
UK,2015-07-01,2015-07-01 00:00:00,2.488276695400865,295.92517237888023,292.0,0.0,Deactivated,black
Albania,2016-01-01,2016-01-01 00:00:00,8.907568820926524,0.9999999999999517,1.0,0.0,Deactivated,black
Algeria,2016-01-01,2016-01-01 00:00:00,5.211723105729445,2.001954355429227,2.0,0.0,Deactivated,black
Argentina,2016-01-01,2016-01-01 00:00:00,8.909969866733686,0.9999999999999889,1.0,0.0,Deactivated,black
Australia,2016-01-01,2016-01-01 00:00:00,2.597633161216051,174.68916321040376,172.0,0.0,Deactivated,black
Austria,2016-01-01,2016-01-01 00:00:00,2.699343674603985,21.182100647503297,21.0,0.0,Deactivated,black
Bangladesh,2016-01-01,2016-01-01 00:00:00,2.148704409628782,2.0678326342702436,2.0,0.0,Deactivated,black
Belgium,2016-01-01,2016-01-01 00:00:00,2.9024262246768555,41.30353482850627,41.0,0.0,Deactivated,black
Brazil,2016-01-01,2016-01-01 00:00:00,3.0936504940915825,25.332750710201417,25.0,0.0,Deactivated,black
Canada,2016-01-01,2016-01-01 00:00:00,2.604638338678906,119.92958445017229,118.0,0.0,Deactivated,black
Chile,2016-01-01,2016-01-01 00:00:00,2.6834462540924457,15.289368268213655,15.0,0.0,Deactivated,black
Colombia,2016-01-01,2016-01-01 00:00:00,3.132592642886931,15.13416138900699,15.0,0.0,Deactivated,black
Croatia,2016-01-01,2016-01-01 00:00:00,8.91428163930689,1.9999999999999902,2.0,0.0,Deactivated,black
Cyprus,2016-01-01,2016-01-01 00:00:00,8.208431047991349,2.0000000000046283,2.0,0.0,Deactivated,black
Czech Republic,2016-01-01,2016-01-01 00:00:00,2.001943772655393,12.500123332538191,12.0,0.0,Deactivated,black
Denmark,2016-01-01,2016-01-01 00:00:00,2.6157592132953353,34.533295092646036,34.0,0.0,Deactivated,black
Estonia,2016-01-01,2016-01-01 00:00:00,2.763377186011258,2.023743455037651,2.0,0.0,Deactivated,black
Fiji,2016-01-01,2016-01-01 00:00:00,8.92915341520533,1.0000000000000095,1.0,0.0,Deactivated,black
Finland,2016-01-01,2016-01-01 00:00:00,2.672650623508068,43.647689024444055,43.0,0.0,Deactivated,black
France,2016-01-01,2016-01-01 00:00:00,2.798215121356767,57.817606758387974,57.0,0.0,Deactivated,black
Germany,2016-01-01,2016-01-01 00:00:00,2.643047176632609,146.26990886823438,144.0,0.0,Deactivated,black
Ghana,2016-01-01,2016-01-01 00:00:00,8.908596370071098,1.0000000000000093,1.0,0.0,Deactivated,black
Greece,2016-01-01,2016-01-01 00:00:00,2.709045081745909,30.464745127620855,30.0,0.0,Deactivated,black
Hungary,2016-01-01,2016-01-01 00:00:00,2.310952264920308,27.198422530624565,27.0,0.0,Deactivated,black
India,2016-01-01,2016-01-01 00:00:00,2.8156251684926836,122.56720856890169,121.0,0.0,Deactivated,black
Indonesia,2016-01-01,2016-01-01 00:00:00,3.236474860796015,6.064756593988594,6.0,0.0,Deactivated,black
Iran,2016-01-01,2016-01-01 00:00:00,2.9898487732198338,4.020440860942269,4.0,0.0,Deactivated,black
Ireland,2016-01-01,2016-01-01 00:00:00,2.468450365528118,24.474002593599717,24.0,0.0,Deactivated,black
Israel,2016-01-01,2016-01-01 00:00:00,3.6859978266422857,3.0066657439061135,3.0,0.0,Deactivated,black
Italy,2016-01-01,2016-01-01 00:00:00,2.7865732315384237,125.05170268352197,123.0,0.0,Deactivated,black
Japan,2016-01-01,2016-01-01 00:00:00,2.7436169909672588,28.102620741663753,28.0,0.0,Deactivated,black
Kuwait,2016-01-01,2016-01-01 00:00:00,8.910246475532604,1.0000000000000169,1.0,0.0,Deactivated,black
Latvia,2016-01-01,2016-01-01 00:00:00,2.4011991301005207,2.0389999531696104,2.0,0.0,Deactivated,black
Lebanon,2016-01-01,2016-01-01 00:00:00,2.6778317784874024,4.083141294716797,4.0,0.0,Deactivated,black
Lithuania,2016-01-01,2016-01-01 00:00:00,8.907822629745432,1.0000000000000038,1.0,0.0,Deactivated,black
Luxembourg,2016-01-01,2016-01-01 00:00:00,4.080898226634007,6.847245292165667,7.0,0.0,Deactivated,black
Malaysia,2016-01-01,2016-01-01 00:00:00,2.7365907227421435,54.64875622637506,54.0,0.0,Deactivated,black
Malta,2016-01-01,2016-01-01 00:00:00,3.121436761274447,2.011148835207698,2.0,0.0,Deactivated,black
Mexico,2016-01-01,2016-01-01 00:00:00,3.4982495821961836,9.039692550543004,9.0,0.0,Deactivated,black
Morocco,2016-01-01,2016-01-01 00:00:00,8.907568820926524,0.9999999999999517,1.0,0.0,Deactivated,black
Nepal,2016-01-01,2016-01-01 00:00:00,8.908596370071098,1.0000000000000093,1.0,0.0,Deactivated,black
Netherlands,2016-01-01,2016-01-01 00:00:00,2.661170730967949,71.02964911733278,70.0,0.0,Deactivated,black
New Zealand,2016-01-01,2016-01-01 00:00:00,2.2322108211187563,20.795345351588725,20.0,0.0,Deactivated,black
Nicaragua,2016-01-01,2016-01-01 00:00:00,8.90995282396443,1.0000000000000622,1.0,0.0,Deactivated,black
Nigeria,2016-01-01,2016-01-01 00:00:00,2.8082727628508715,3.0420844518220083,3.0,0.0,Deactivated,black
North Macedonia,2016-01-01,2016-01-01 00:00:00,8.905075446563638,1.000000000000016,1.0,0.0,Deactivated,black
Norway,2016-01-01,2016-01-01 00:00:00,2.5792499315620923,42.30599596904877,42.0,0.0,Deactivated,black
Pakistan,2016-01-01,2016-01-01 00:00:00,3.5465791278208996,7.016770746366374,7.0,0.0,Deactivated,black
China,2016-01-01,2016-01-01 00:00:00,2.6893745505513507,280.1681758908196,276.0,0.0,Deactivated,black
Peru,2016-01-01,2016-01-01 00:00:00,4.107920580830941,2.0056176606378338,2.0,0.0,Deactivated,black
Philippines,2016-01-01,2016-01-01 00:00:00,2.386848297388007,18.43926427259189,18.0,0.0,Deactivated,black
Poland,2016-01-01,2016-01-01 00:00:00,2.86898393420288,23.28818948105289,23.0,0.0,Deactivated,black
Portugal,2016-01-01,2016-01-01 00:00:00,3.076103034439379,34.07745664437053,34.0,0.0,Deactivated,black
Qatar,2016-01-01,2016-01-01 00:00:00,3.433106635385344,6.054916815098686,6.0,0.0,Deactivated,black
Romania,2016-01-01,2016-01-01 00:00:00,2.4709130721503723,27.452293650659847,27.0,0.0,Deactivated,black
Russia,2016-01-01,2016-01-01 00:00:00,3.138742684059365,4.019234545582,4.0,0.0,Deactivated,black
Saudi Arabia,2016-01-01,2016-01-01 00:00:00,2.812519511415984,5.100392309624436,5.0,0.0,Deactivated,black
Senegal,2016-01-01,2016-01-01 00:00:00,8.907741307583526,0.9999999999999994,1.0,0.0,Deactivated,black
Serbia,2016-01-01,2016-01-01 00:00:00,2.491617722351477,4.113570319176857,4.0,0.0,Deactivated,black
Singapore,2016-01-01,2016-01-01 00:00:00,2.6310589880944395,39.52844844597904,39.0,0.0,Deactivated,black
Slovakia,2016-01-01,2016-01-01 00:00:00,2.8917242157809975,8.04660041489398,8.0,0.0,Deactivated,black
Slovenia,2016-01-01,2016-01-01 00:00:00,2.484757935567266,19.306701672270492,19.0,0.0,Deactivated,black
South Africa,2016-01-01,2016-01-01 00:00:00,2.803015606353799,30.08193239643081,30.0,0.0,Deactivated,black
South Korea,2016-01-01,2016-01-01 00:00:00,2.5027405381798173,16.49880129337054,16.0,0.0,Deactivated,black
Spain,2016-01-01,2016-01-01 00:00:00,2.6879261373526093,129.30716077821464,127.0,0.0,Deactivated,black
Sri Lanka,2016-01-01,2016-01-01 00:00:00,2.934256513050371,5.045919304950707,5.0,0.0,Deactivated,black
Sweden,2016-01-01,2016-01-01 00:00:00,2.92051371790904,51.59632263140892,51.0,0.0,Deactivated,black
Switzerland,2016-01-01,2016-01-01 00:00:00,2.5089849314926043,29.52233110795968,29.0,0.0,Deactivated,black
Taiwan,2016-01-01,2016-01-01 00:00:00,2.803930940305194,48.539636674943836,48.0,0.0,Deactivated,black
Tanzania,2016-01-01,2016-01-01 00:00:00,8.90863784600281,0.9999999999999752,1.0,0.0,Deactivated,black
Thailand,2016-01-01,2016-01-01 00:00:00,2.9626381403621593,17.1819680735531,17.0,0.0,Deactivated,black
Trinidad Tobago,2016-01-01,2016-01-01 00:00:00,8.91428163930689,0.9999999999999951,1.0,0.0,Deactivated,black
Turkey,2016-01-01,2016-01-01 00:00:00,2.370728423308756,7.221573563586044,7.0,0.0,Deactivated,black
U Arab Emirates,2016-01-01,2016-01-01 00:00:00,2.6699234077206278,11.966473280342111,12.0,0.0,Deactivated,black
Uganda,2016-01-01,2016-01-01 00:00:00,8.909398818290017,1.000000000000044,1.0,0.0,Deactivated,black
Uruguay,2016-01-01,2016-01-01 00:00:00,3.5291716059551357,2.009469671861467,2.0,0.0,Deactivated,black
Venezuela,2016-01-01,2016-01-01 00:00:00,8.91428163930689,0.9999999999999951,1.0,0.0,Deactivated,black
Vietnam,2016-01-01,2016-01-01 00:00:00,8.91428163930689,0.9999999999999951,1.0,0.0,Deactivated,black
Zimbabwe,2016-01-01,2016-01-01 00:00:00,8.915776739059286,1.0000000000000053,1.0,0.0,Deactivated,black
USA,2016-01-01,2016-01-01 00:00:00,2.4914948731866793,639.7442879943301,630.0,0.0,Deactivated,black
UK,2016-01-01,2016-01-01 00:00:00,2.3904984885009943,331.27080121646594,326.0,0.0,Deactivated,black
Albania,2016-07-01,2016-07-01 00:00:00,8.907568820926524,0.9999999999999517,1.0,0.0,Deactivated,black
Algeria,2016-07-01,2016-07-01 00:00:00,5.211723105729445,2.001954355429227,2.0,0.0,Deactivated,black
Argentina,2016-07-01,2016-07-01 00:00:00,3.527663229830086,2.0112508972552896,2.0,0.0,Deactivated,black
Australia,2016-07-01,2016-07-01 00:00:00,2.560367829754187,185.05250682994804,182.0,0.0,Deactivated,black
Austria,2016-07-01,2016-07-01 00:00:00,2.699343674603985,21.182100647503297,21.0,0.0,Deactivated,black
Bangladesh,2016-07-01,2016-07-01 00:00:00,2.148704409628782,2.0678326342702436,2.0,0.0,Deactivated,black
Belgium,2016-07-01,2016-07-01 00:00:00,2.8369149868281296,44.3781427699237,44.0,0.0,Deactivated,black
Brazil,2016-07-01,2016-07-01 00:00:00,3.099974012685532,29.38429095478276,29.0,0.0,Deactivated,black
Canada,2016-07-01,2016-07-01 00:00:00,2.575422530328062,127.21936314017493,125.0,0.0,Deactivated,black
Chile,2016-07-01,2016-07-01 00:00:00,2.6851195326004795,16.32462019017426,16.0,0.0,Deactivated,black
Colombia,2016-07-01,2016-07-01 00:00:00,3.0427890607072636,18.198743984147917,18.0,0.0,Deactivated,black
Croatia,2016-07-01,2016-07-01 00:00:00,8.91428163930689,1.9999999999999902,2.0,0.0,Deactivated,black
Cyprus,2016-07-01,2016-07-01 00:00:00,8.208431047991349,2.0000000000046283,2.0,0.0,Deactivated,black
Czech Republic,2016-07-01,2016-07-01 00:00:00,2.001943772655393,12.500123332538191,12.0,0.0,Deactivated,black
Denmark,2016-07-01,2016-07-01 00:00:00,2.5289800877829736,39.71161832653262,39.0,0.0,Deactivated,black
Ecuador,2016-07-01,2016-07-01 00:00:00,8.906798200336603,1.0000000000000684,1.0,0.0,Deactivated,black
Estonia,2016-07-01,2016-07-01 00:00:00,2.763377186011258,2.023743455037651,2.0,0.0,Deactivated,black
Fiji,2016-07-01,2010-03-31 00:00:00,1.5354112640895956,2.2267339431531834,2.0,12.683333333333334,Deceleration,red
Finland,2016-07-01,2016-07-01 00:00:00,2.595138058055277,47.666880174276535,47.0,0.0,Deactivated,black
France,2016-07-01,2016-07-01 00:00:00,2.798215121356767,57.817606758387974,57.0,0.0,Deactivated,black
Germany,2016-07-01,2016-07-01 00:00:00,2.61459399005775,155.62001791388624,153.0,0.0,Deactivated,black
Ghana,2016-07-01,2016-07-01 00:00:00,8.908596370071098,1.0000000000000093,1.0,0.0,Deactivated,black
Greece,2016-07-01,2016-07-01 00:00:00,2.687427198851604,33.59460434488024,33.0,0.0,Deactivated,black
Hungary,2016-07-01,2016-07-01 00:00:00,2.310952264920308,27.198422530624565,27.0,0.0,Deactivated,black
India,2016-07-01,2016-07-01 00:00:00,2.7939069384487727,128.75899257273088,127.0,0.0,Deactivated,black
Indonesia,2016-07-01,2016-07-01 00:00:00,3.236474860796015,6.064756593988594,6.0,0.0,Deactivated,black
Iran,2016-07-01,2016-07-01 00:00:00,2.862853784798681,5.060978717962863,5.0,0.0,Deactivated,black
Ireland,2016-07-01,2016-07-01 00:00:00,2.4538673397467896,25.52598065272051,25.0,0.0,Deactivated,black
Israel,2016-07-01,2016-07-01 00:00:00,3.6859978266422857,3.0066657439061135,3.0,0.0,Deactivated,black
Italy,2016-07-01,2016-07-01 00:00:00,2.778295397594826,138.4428858600661,136.0,0.0,Deactivated,black
Japan,2016-07-01,2016-07-01 00:00:00,2.699965552389958,29.146137914513638,29.0,0.0,Deactivated,black
Kuwait,2016-07-01,2016-07-01 00:00:00,8.910246475532604,1.0000000000000169,1.0,0.0,Deactivated,black
Latvia,2016-07-01,2016-07-01 00:00:00,2.4011991301005207,2.0389999531696104,2.0,0.0,Deactivated,black
Lebanon,2016-07-01,2016-07-01 00:00:00,2.6778317784874024,4.083141294716797,4.0,0.0,Deactivated,black
Lithuania,2016-07-01,2016-07-01 00:00:00,2.441845541153398,2.0467574862259807,2.0,0.0,Deactivated,black
Luxembourg,2016-07-01,2016-07-01 00:00:00,4.080898226634007,6.847245292165667,7.0,0.0,Deactivated,black
Malaysia,2016-07-01,2016-07-01 00:00:00,2.7076551399756092,56.6993378433605,56.0,0.0,Deactivated,black
Malta,2016-07-01,2016-07-01 00:00:00,3.121436761274447,2.011148835207698,2.0,0.0,Deactivated,black
